"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L184","AbstractDao(DaoConfig config)","org.greenrobot.greendao.AbstractDao.<init>(Lorg/greenrobot/greendao/internal/DaoConfig;)V","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","76","5","78","6","0","0","0","0","0","0","0","0","1","0","0","23","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L186","AbstractDao(DaoConfig config, AbstractDaoSession daoSession)","org.greenrobot.greendao.AbstractDao.<init>(Lorg/greenrobot/greendao/internal/DaoConfig;Lorg/greenrobot/greendao/AbstractDaoSession;)V","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","80","5","94","6","0","0","0","0","0","0","0","0","3","1","1","24","2","0","0","0","0","0","15","15","10","2","15","15","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","AbstractDaoSession getSession()","org.greenrobot.greendao.AbstractDao.getSession()Lorg/greenrobot/greendao/AbstractDaoSession;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","96","5","98","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L219","TableStatements getStatements()","org.greenrobot.greendao.AbstractDao.getStatements()Lorg/greenrobot/greendao/internal/TableStatements;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","100","5","102","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L220","String getTablename()","org.greenrobot.greendao.AbstractDao.getTablename()Ljava/lang/String;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","104","5","106","6","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L226","Property[] getProperties()","org.greenrobot.greendao.AbstractDao.getProperties()[Lorg/greenrobot/greendao/Property;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","108","5","110","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L234","Property getPkProperty()","org.greenrobot.greendao.AbstractDao.getPkProperty()Lorg/greenrobot/greendao/Property;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","112","5","114","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","String[] getAllColumns()","org.greenrobot.greendao.AbstractDao.getAllColumns()[Ljava/lang/String;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","116","5","118","6","0","0","0","0","0","0","0","0","1","0","0","8","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","String[] getPkColumns()","org.greenrobot.greendao.AbstractDao.getPkColumns()[Ljava/lang/String;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","120","5","122","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L242","String[] getNonPkColumns()","org.greenrobot.greendao.AbstractDao.getNonPkColumns()[Ljava/lang/String;","L126","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","124","5","126","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
