"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L110","Test","Test","L104","L103","D:\PR_assignment_src\liferay-portal\classes\Test.java","18","1","32","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","2","0.5","0.692308","18","16","1","1","0.692308","18","0","0","0","0","0","8","15","0","0","0","0","2","0","1","0","2","2","0","1","0","8","15","0","0","0","0","2","0","1","0","2","2","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1347","ChatPortletKeys","com.liferay.chat.constants.ChatPortletKeys","L1336","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\constants\ChatPortletKeys.java","20","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.428571","3","3","1","0","0.428571","3","0","0","0","0","0","4","6","1","0","1","0","0","1","0","0","0","0","1","0","0","4","6","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1355","NoSuchEntryException","com.liferay.chat.exception.NoSuchEntryException","L1351","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\exception\NoSuchEntryException.java","22","1","39","2","0","0","0","0","0","0","0","0","0","0","0","4","0","3","18","0","4","0.2","0.1875","3","3","1","4","0.1875","3","0","0","0","0","0","13","18","0","0","0","0","4","0","4","0","4","3","0","4","0","13","18","0","0","0","0","4","0","4","0","4","3","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1368","NoSuchStatusException","com.liferay.chat.exception.NoSuchStatusException","L1351","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\exception\NoSuchStatusException.java","22","1","39","2","0","0","0","0","0","0","0","0","0","0","0","4","0","3","9","0","4","0.2","0.1875","3","3","1","4","0.1875","3","0","0","0","0","0","13","18","0","0","0","0","4","0","4","0","4","3","0","4","0","13","18","0","0","0","0","4","0","4","0","4","3","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1414","EntryConstants","com.liferay.chat.model.EntryConstants","L1378","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\model\EntryConstants.java","20","1","26","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.428571","3","3","1","0","0.428571","3","0","0","0","0","0","4","7","2","0","2","0","0","2","0","0","0","0","2","0","0","4","7","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1491","EntrySoap","com.liferay.chat.model.EntrySoap","L1378","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\model\EntrySoap.java","30","1","147","2","0.415033","3","5","3","0.237288","0.255556","28","23","1","1","1","23","2","0","0","6","25","0.05","0.0625","6","6","1","19","0.0625","6","0","0","0","0","0","90","118","6","7","6","7","19","0","19","7","19","41","0","19","7","90","118","6","7","6","7","19","0","19","7","19","41","0","19","7","0","0","64","0","0","0","0","0","18","0","0","0","0","1","0","41","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1566","EntryWrapper","com.liferay.chat.model.EntryWrapper","L1378","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\model\EntryWrapper.java","39","1","429","2","0.309556","8","47","11","0.176471","0.220339","69","52","1","1","1","57","2","0","0","33","81","0.387755","0.295522","99","99","19","30","0.295522","99","2","2","0","0","1","236","391","2","15","1","15","48","0","48","16","48","79","1","48","16","236","391","2","15","1","15","48","0","48","16","48","79","1","48","16","0","0","99","0","0","0","0","0","25","0","0","0","0","1","0","61","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L1811","StatusSoap","com.liferay.chat.model.StatusSoap","L1378","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\model\StatusSoap.java","30","1","179","2","0.386921","4","6","4","0.186667","0.2","28","23","1","1","1","30","2","0","0","8","34","0.037037","0.0495868","6","6","1","26","0.0495868","6","0","0","0","0","0","115","150","8","9","8","9","26","0","26","9","26","50","0","26","9","115","150","8","9","8","9","26","0","26","9","26","50","0","26","9","0","0","82","0","0","0","0","0","18","0","0","0","0","1","0","55","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L1901","StatusWrapper","com.liferay.chat.model.StatusWrapper","L1378","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\model\StatusWrapper.java","39","1","493","2","0.334906","12","76","17","0.182418","0.233083","83","62","1","1","1","64","2","0","0","38","91","0.444444","0.317949","124","124","24","30","0.317949","124","2","2","0","0","1","266","455","2","16","1","16","53","0","53","17","53","92","1","53","17","266","455","2","16","1","16","53","0","53","17","53","92","1","53","17","0","0","102","0","0","0","0","0","27","0","0","0","0","1","0","61","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L2607","EntryLocalServiceUtil","com.liferay.chat.service.EntryLocalServiceUtil","L2507","L103","D:\PR_assignment_src\liferay-portal\modules\apps\chat\chat-api\src\main\java\com\liferay\chat\service\EntryLocalServiceUtil.java","37","1","281","2","0","0","0","0","0","0","0","0","1","0","0","26","2","5","6","25","51","0.592593","0.538793","125","125","16","11","0.538793","125","0","0","0","0","0","107","245","1","10","1","10","26","0","26","0","26","26","0","26","0","107","245","1","10","1","10","26","0","26","0","26","26","0","26","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","5","0","0","0","0","0"
